ip_str,hostnames,Server_Type
160.20.145.111,['111.145.20.160'],Cobalt Strike Team Server
175.24.207.248,[],Cobalt Strike Team Server
77.73.131.6,['web-development-service.aeza.network'],Cobalt Strike Team Server
45.182.189.190,[],Cobalt Strike Team Server
121.199.166.58,[],Cobalt Strike Team Server
47.103.42.161,[],Cobalt Strike Team Server
124.222.185.248,[],Cobalt Strike Team Server
124.222.100.22,[],Cobalt Strike Team Server
54.221.105.212,['ec2-54-221-105-212.compute-1.amazonaws.com'],Cobalt Strike Team Server
3.65.42.215,"['www.healthaidgadget.com', 'ec2-3-65-42-215.eu-central-1.compute.amazonaws.com', 'healthaidgadget.com']",Cobalt Strike Team Server
185.170.42.93,[],Cobalt Strike Team Server
101.43.186.153,[],Cobalt Strike Team Server
106.75.231.15,[],Cobalt Strike Team Server
89.185.85.242,['goodly-thing.aeza.network'],Cobalt Strike Team Server
107.189.12.60,[],Cobalt Strike Team Server
31.41.244.142,[],Cobalt Strike Team Server
103.155.92.229,['server1.kamon.la'],Cobalt Strike Team Server
159.75.55.223,[],Cobalt Strike Team Server
18.192.11.175,['ec2-18-192-11-175.eu-central-1.compute.amazonaws.com'],Cobalt Strike Team Server
107.172.206.242,['107-172-206-242-host.colocrossing.com'],Cobalt Strike Team Server
125.124.127.206,[],Cobalt Strike Team Server
121.4.79.90,[],Cobalt Strike Team Server
43.142.103.57,[],Cobalt Strike Team Server
192.3.128.243,['192-3-128-243-host.colocrossing.com'],Cobalt Strike Team Server
159.223.16.152,[],Cobalt Strike Team Server
43.154.27.211,['microsofer.top'],Cobalt Strike Team Server
43.142.60.207,[],Cobalt Strike Team Server
1.12.48.210,[],Cobalt Strike Team Server
45.15.156.72,[],Cobalt Strike Team Server
120.48.47.208,[],Cobalt Strike Team Server
77.73.131.173,['clumsy-snake.aeza.network'],Cobalt Strike Team Server
137.220.232.89,[],Cobalt Strike Team Server
35.75.235.89,"['www.bandwidth-management.com', 'ec2-35-75-235-89.ap-northeast-1.compute.amazonaws.com']",Cobalt Strike Team Server
43.143.18.98,[],Cobalt Strike Team Server
106.12.134.91,[],Cobalt Strike Team Server
119.91.45.113,[],Cobalt Strike Team Server
119.23.61.144,[],Cobalt Strike Team Server
114.116.20.5,['ecs-114-116-20-5.compute.hwclouds-dns.com'],Cobalt Strike Team Server
42.192.134.128,[],Cobalt Strike Team Server
120.48.71.139,[],Cobalt Strike Team Server
109.94.208.57,[],Cobalt Strike Team Server
176.113.115.124,[],Cobalt Strike Team Server
69.172.74.52,['69-172-74-052.static.imsbiz.com'],Cobalt Strike Team Server
121.5.44.178,[],Cobalt Strike Team Server
23.29.115.190,['23-29-115-190.static.hvvc.us'],Cobalt Strike Team Server
31.172.83.154,[],Cobalt Strike Team Server
42.192.55.149,[],Cobalt Strike Team Server
103.146.141.98,[],Cobalt Strike Team Server
47.243.236.221,[],Cobalt Strike Team Server
23.94.40.43,['mail1.alkwhg.com'],Cobalt Strike Team Server
47.100.180.46,[],Cobalt Strike Team Server
205.185.114.97,"['winserver.root.local', 'r1z.rocks', 'z3a.r1z.rocks']",Cobalt Strike Team Server
192.252.182.56,[],Cobalt Strike Team Server
82.157.61.211,[],Cobalt Strike Team Server
43.143.133.46,[],Cobalt Strike Team Server
121.5.195.89,['sword.gq'],Cobalt Strike Team Server
175.178.243.43,[],Cobalt Strike Team Server
107.189.6.139,['msndla.com'],Cobalt Strike Team Server
42.194.147.138,[],Cobalt Strike Team Server
139.196.200.179,[],Cobalt Strike Team Server
121.37.200.66,['ecs-121-37-200-66.compute.hwclouds-dns.com'],Cobalt Strike Team Server
173.82.135.18,"['falsh.cf', '18-135-82-173-dedicated.multacom.com']",Cobalt Strike Team Server
1.117.231.225,[],Cobalt Strike Team Server
64.190.113.81,[],Cobalt Strike Team Server
43.139.69.104,[],Cobalt Strike Team Server
198.98.53.34,[],Cobalt Strike Team Server
101.42.221.54,[],Cobalt Strike Team Server
194.180.48.249,[],Cobalt Strike Team Server
139.59.181.36,[],Cobalt Strike Team Server
118.195.144.147,[],Cobalt Strike Team Server
